step,layer,event,x,gate
26,L2,FLOW,2090832134,L2_F
26,L3,KEEP,2090832134,L3_K
27,L0,GATE_HOLD,2090832134,G0_HOLD
27,L1,STEP_NORM,1589967684,L1_N
27,L2,FLOW,1589967684,L2_F
27,L3,KEEP,1589967684,L3_K
28,L0,GATE_HOLD,1589967684,G0_HOLD
28,L1,STEP_NORM,2030443435,L1_N
28,L2,FLOW,2030443435,L2_F
28,L3,KEEP,2030443435,L3_K
29,L0,GATE_HOLD,2030443435,G0_HOLD
29,L1,STEP_NORM,894060935,L1_N
29,L2,FLOW,894060935,L2_F
29,L3,KEEP,894060935,L3_K
30,L0,GATE_HOLD,894060935,G0_HOLD
30,L1,STEP_NORM,2020792372,L1_N
30,L2,FLOW,2020792372,L2_F
30,L3,KEEP,2020792372,L3_K
31,L0,GATE_HOLD,2020792372,G0_HOLD
31,L1,STEP_NORM,855526878,L1_N
31,L2,FLOW,855526878,L2_F
31,L3,KEEP,855526878,L3_K
32,L0,GATE_HOLD,855526878,G0_HOLD
32,L1,STEP_NORM,1236611905,L1_N
32,L2,FLOW,1236611905,L2_F
32,L3,KEEP,1236611905,L3_K
33,L0,GATE_HOLD,1236611905,G0_HOLD
33,L1,STEP_NORM,1024133225,L1_N
33,L2,FLOW,1024133225,L2_F
33,L3,KEEP,1024133225,L3_K
34,L0,GATE_PASS,1024133225,G0_OK
34,L1,STEP_NORM,75037298,L1_N
34,L2,FLOW,75037298,L2_F
34,L3,KEEP,75037298,L3_K
35,L0,GATE_HOLD,75037298,G0_HOLD
35,L1,STEP_NORM,1778239048,L1_N
35,L2,FLOW,1778239048,L2_F
35,L3,EXIT,1778239048,L3_E
