step,layer,event,x,gate
12,L3,KEEP,801374569,L3_K
13,L0,GATE_HOLD,801374569,G0_HOLD
13,L1,STEP_NORM,1327056231,L1_N
13,L2,FLOW,1327056231,L2_F
13,L3,KEEP,1327056231,L3_K
14,L0,GATE_PASS,1327056231,G0_OK
14,L1,STEP_NORM,898800782,L1_N
14,L2,FLOW,898800782,L2_F
14,L3,KEEP,898800782,L3_K
15,L0,GATE_HOLD,898800782,G0_HOLD
15,L1,STEP_NORM,519346730,L1_N
15,L2,FLOW,519346730,L2_F
15,L3,KEEP,519346730,L3_K
16,L0,GATE_HOLD,519346730,G0_HOLD
16,L1,STEP_NORM,463150487,L1_N
16,L2,FLOW,463150487,L2_F
16,L3,KEEP,463150487,L3_K
17,L0,GATE_PASS,463150487,G0_OK
17,L1,STEP_NORM,1037715713,L1_N
17,L2,FLOW,1037715713,L2_F
17,L3,KEEP,1037715713,L3_K
18,L0,GATE_HOLD,1037715713,G0_HOLD
18,L1,STEP_NORM,267784484,L1_N
18,L2,FLOW,267784484,L2_F
18,L3,KEEP,267784484,L3_K
19,L0,GATE_HOLD,267784484,G0_HOLD
19,L1,STEP_NORM,718729740,L1_N
19,L2,FLOW,718729740,L2_F
19,L3,KEEP,718729740,L3_K
20,L0,GATE_HOLD,718729740,G0_HOLD
20,L1,STEP_NORM,2089641173,L1_N
20,L2,FLOW,2089641173,L2_F
20,L3,KEEP,2089641173,L3_K
21,L0,GATE_HOLD,2089641173,G0_HOLD
21,L1,STEP_NORM,782991979,L1_N
21,L2,FLOW,782991979,L2_F
21,L3,KEEP,782991979,L3_K
22,L0,GATE_HOLD,782991979,G0_HOLD
22,L1,STEP_ACCEL,713412426,L1_A
22,L2,FLOW,713412426,L2_F
22,L3,KEEP,713412426,L3_K
23,L0,GATE_HOLD,713412426,G0_HOLD
23,L1,STEP_NORM,2103344190,L1_N
23,L2,FLOW,2103344190,L2_F
23,L3,KEEP,2103344190,L3_K
24,L0,GATE_HOLD,2103344190,G0_HOLD
24,L1,STEP_NORM,17463331,L1_N
24,L2,FLOW,17463331,L2_F
24,L3,KEEP,17463331,L3_K
25,L0,GATE_HOLD,17463331,G0_HOLD
25,L1,STEP_NORM,1881308837,L1_N
25,L2,FLOW,1881308837,L2_F
25,L3,KEEP,1881308837,L3_K
26,L0,GATE_HOLD,1881308837,G0_HOLD
26,L1,STEP_NORM,434429952,L1_N
26,L2,FLOW,434429952,L2_F
26,L3,KEEP,434429952,L3_K
27,L0,GATE_HOLD,434429952,G0_HOLD
27,L1,STEP_ACCEL,45354432,L1_A
27,L2,FLOW,45354432,L2_F
27,L3,KEEP,45354432,L3_K
28,L0,GATE_PASS,45354432,G0_OK
28,L1,STEP_NORM,1700464769,L1_N
28,L2,FLOW,1700464769,L2_F
28,L3,KEEP,1700464769,L3_K
29,L0,GATE_PASS,1700464769,G0_OK
29,L1,STEP_NORM,958438063,L1_N
29,L2,FLOW,958438063,L2_F
29,L3,KEEP,958438063,L3_K
30,L0,GATE_HOLD,958438063,G0_HOLD
30,L1,STEP_NORM,1415437382,L1_N
30,L2,FLOW,1415437382,L2_F
30,L3,KEEP,1415437382,L3_K
31,L0,GATE_HOLD,1415437382,G0_HOLD
31,L1,STEP_NORM,691587986,L1_N
31,L2,REFUSAL,691587986,L2_R
31,L2,REROUTE,691590087,L2_RR
31,L3,KEEP,691590087,L3_K
32,L0,GATE_HOLD,691590087,G0_HOLD
32,L1,STEP_NORM,816020352,L1_N
32,L2,FLOW,816020352,L2_F
32,L3,KEEP,816020352,L3_K
33,L0,GATE_HOLD,816020352,G0_HOLD
33,L1,STEP_NORM,171787078,L1_N
33,L2,FLOW,171787078,L2_F
33,L3,KEEP,171787078,L3_K
34,L0,GATE_HOLD,171787078,G0_HOLD
34,L1,STEP_NORM,1421452949,L1_N
34,L2,FLOW,1421452949,L2_F
34,L3,KEEP,1421452949,L3_K
35,L0,GATE_HOLD,1421452949,G0_HOLD
35,L1,STEP_NORM,1342964025,L1_N
35,L2,FLOW,1342964025,L2_F
35,L3,KEEP,1342964025,L3_K
36,L0,GATE_HOLD,1342964025,G0_HOLD
36,L1,STEP_NORM,680694030,L1_N
36,L2,FLOW,680694030,L2_F
36,L3,EXIT,680694030,L3_E
